Pitch No.,Brand,Idea,Industry/Genre ,State/city ,Male/Female led Startup,Deal,Funding ,Received Funding before ,Sharks That Invested ,,,,,,
,,,,,,,,,Ashneer,Namita,Anupam,Vineeta,Aman,Peyush,Ghazal
1,BluePine Industries,Frozen Momos,,,,Yes ,Rs. 75 lakhs for 18% of the Company,,X,,,X,X,,
2,Booz scooters,Renting e-bike for mobility in private spaces,,,,Yes ,Rs. 40 lakhs for 50% of the Company,,X,,,X,,,
3,Heart up my Sleeves,Detachable Sleeves,,,,Yes ,Rs. 25 lakhs for 30% of the Company,,,,X,X,,,
4,Tagz Foods,Healthy Potato Chips,,,,Yes ,Rs. 70 lakhs for 2.75% of the Company,,X,,,,,,
5,Head and Heart,Brain Development Course,,,,,No Deal,,,,,,,,
6,Agro tourism,Tourism,,,,,No Deal,,,,,,,,
7,Qzense Labs,Food Freshness Detector,,,,,No Deal,,,,,,,,
8,Peeschute,Disposable Urine Bag,,,,Yes ,Rs. 75 lakhs for 6% of the Company,,,,,,X,,
9,NOCD,Energy Drink,,,,Yes ,Rs. 20 lakhs for 15% of the Company and Rs. 30 lakhs debt,,,,,X,,,
10,Cosiq,Intelligent Skincare,,,,Yes ,Rs. 50 lakhs for 25% of the Company,,,,X,X,,,
11,JhaJi Achaar,Pickle,,,,,No Deal,,,,,,,,
12,Bummer,Underwear,,,,Yes ,Rs. 75 lakhs for 7.5% of the Company,,,X,,,X,,
13,Revamp Moto,E-Bike,,,,Yes ,Rs. 1 crore for 1.5% of the Company,,,,X,,X,,
14,Hungry Heads,Restaurant serving 80 types of Maggi,,,,,No Deal,,,,,,,,
15,Shrawani Engineers,Belly Button Shaper,,,,,No Deal,,,,,,,,
16,Skippi Pops,Ice-Pops,,,,Yes ,Rs. 1 crore for 15% of the Company,,X,X,X,X,X,,
17,Menstrupedia,Menstrual Awareness Comic,,,,Yes ,Rs. 50 lakhs for 20% of the Company,,,X,,,,,
18,Hecolll,Pollution Resistant Fabric,,,,,No Deal,,,,,,,,
19,Raising Superstars,Child Development App,,,,Yes ,Rs. 1 crore for 4% of the Company,,X,,,,X,,
20,Torch-it,Gadgets for visually impaired people,,,,,No Deal,,,,,,,,
21,La Kheer Deli,Kheer in variety of flavors,,,,,,,,,,,,,
22,Beyond Snack,Kerala Banana Chips,,,,,Rs. 50 lakhs for 2.5% of the Company,,X,,,,X,,
23,Vivalyf Innovations- Easy Life,Prickless Diabetes Testing Machine,,,,,Rs. 56 lakhs for 33.33% of the Company,,,,X,,,X,
24,Motion Breeze,Smart Electric Motorcycle,,,,,Rs. 30 lakhs for 6% of the Company,,X,,,,,,
25,Altor,Smart Helmets,,,,,Rs. 50 lakhs for 7% of the Company,,,X,,,X,,
26,Ariro,Wooden Toys,,,,,Rs. 50 lakhs for 10% of the Company,,,,,,X,X,
27,Kabira Handmade,Healthy Oils,,,,,No Deal,,,,,,,,
28,Nuutjob,Male Intimate Hygiene,,,,,Rs. 25 lakhs for 20% of the Company,,,X,,,X,X,
29,Meatyour,Eggs,,,,,Rs. 30 lakhs for 20% of the Company,,,,X,,X,X,
30,EventBeep,Student Community App,,,,,Rs. 30 lakhs for 3% of the Company,,X,,,,X,X,
31,Gopal’s 56,Fiber Ice Cream,,,,,No Deal,,,,,,,,
32,ARRCOAT Surface Textures,Wall Building,,,,,Rs. 50 lakhs for 15% of the Company,,,,X,,,,
33,Farda,Customised Streetwear,,,,,Rs. 30 lakhs for 20% of the Company,,,X,,,X,,
34,Auli Lifestyle,Ayurvedic Products,,,,,Rs. 75 lakhs for 15% of the Company,,,X,,,,,
35,SweeDesi,Indian Sweets,,,,,No Deal,,,,,,,,
36,LOKA,Metaverse App,,,,,Rs. 40 lakhs for 24% of the Company,,,,X,,X,X,
37,Annie,Braille Literary Device,,,,,Rs. 1.05 crore at 3% of the Company,,,X,X,,,X,
38,Caragreen,Eco-Friendly boxes,,,,,Rs. 50 lakhs for 20% of the Company,,,,X,,,X,
39,The Yarn Bazaar,Yarn-Trading App,,,,,Rs. 1 crore for 10% of the Company,,X,,X,,X,X,
40,The Renal Project,Home Dialysis Treatment,,,,,Rs. 1 crore at 6% of the Company,,,X,,,X,,
41,Morikko Pure Foods,Healthy Food Snacks,,,,,No Deal,,,,,,,,
42,Good Good Piggy Bank,Digital Piggy Bank,,,,,,,,,,,,,
43,Hammer Lifestyle,Smart Audio Products,,,,,Rs. 1 crore for 40% of the Company,,,,,,X,,
44,PNT,Robotics and Automation Solutions,,,,,Rs. 25 lakhs for 25% of the Company and Rs. 25 lakhs debt,,,,,,,X,
